CODI_ENS;TIPUS_ENS;NOM;CARREC;AREA;PARTIT_POLITIC;MUNICIPI_REPRESENTA;ORDRE;DATA_NOMENAMENT
800950006;Municipis;ÀNGEL PUIG I BOLTÀ;Regidor/a;Cultura, Patrimoni, Promoció Econòmica i Cooperació.;UNITAT-AxR-AM;;7;15/6/2019
800950006;Municipis;MONTSERRAT CAPDEVILA CAÑADAS;Regidor/a;;TxA;;8;15/6/2019
800950006;Municipis;PEP MASÓ NOGUERAS;Regidor/a;;TxA;;9;15/6/2019
800950006;Municipis;FRANCESC XAVIER COLLET DIVÍ;Regidor/a;;TxA;;10;15/6/2019
800950006;Municipis;MONTSERRAT MATAS OLIVERAS;Regidor/a;;TxA;;11;15/6/2019
800950006;Municipis;BERNAT CALVO CATALÀ;Regidor/a;;JxCAT - JUNTS;;12;15/6/2019
800950006;Municipis;CRISTINA MAYNOU I CASANOVAS ;Regidor/a;;JxCAT - JUNTS;;13;15/6/2019
800950006;Municipis;SUSANA LÓPEZ RICO;Regidor/a;;PSC-CP;;14;15/6/2019
800950006;Municipis;JOSEP ARENAS PONSA;Regidor/a;;PSC-CP;;15;15/6/2019
800950006;Municipis;JUAN FRANCISCO FRAGOSO ESCRIBANO;Regidor/a;;PP;;16;15/6/2019
800950006;Municipis;Vacant;;;UNITAT-AxR-AM;;17;15/6/2019
801090004;Municipis;ENRIC FORCADA VALIENTE;Alcalde/ssa;Alcaldia;ERC-AM;;1;15/6/2019
801090004;Municipis;ELISABET CARRACEDO I MAÑOSA;Tinent/a d'Alcalde;Cultura, Educació i Esports, Entitats, Festes;ERC-AM;;2;15/6/2019
801090004;Municipis;MARISSA TRULLÀS I LEDESMA;Tinent/a d'Alcalde;Drets Socials, Salut Pública, Desenvolupament Rural;ERC-AM;;3;15/6/2019
801090004;Municipis;PERE BITRIU COMALLONGA;Tinent/a d'Alcalde;Habitatge, Medi Ambient i Urbanisme,Memòria Històrica, Formació;CUP-AMUNT;;4;15/6/2019
801090004;Municipis;MARIONA ALTIMIRA SALLENT;Tinent/a d'Alcalde;Joventut, Participació.;CUP-AMUNT;;5;15/6/2019
801090004;Municipis;XAVIER ROBLES I CIRIA;Regidor/a;Turisme, Promoció Econòmica,Serveis, Ocupació, Empresa, Comerç, Indústria, Manteniment;ERC-AM;;6;15/6/2019
801090004;Municipis;ROC COMAS I PLANS;Regidor/a;Comunicació, Transparència, Hissenda, TIC;ERC-AM;;7;15/6/2019
801090004;Municipis;NABILA EL MORANI I ZAHID;Regidor/a;Cooperació, Solidaritat, Ciutadania i Immigració, Prevenció i Riscos Laborals;ERC-AM;;8;15/6/2019
801090004;Municipis;ISRAEL FALCÓ MARTÍNEZ;Regidor/a;;CUP-AMUNT;;9;15/6/2019
801090004;Municipis;JUAN JOSE SALVADOR PEREZ;Regidor/a;;Cs;;10;15/6/2019
801090004;Municipis;DANIEL SANCHEZ PARREÑO;Regidor/a;;Cs;;11;15/6/2019
801090004;Municipis;TERESA PUIGBÒ FABREGA ;Regidor/a;;JxCAT-JUNTS;;12;15/6/2019
801090004;Municipis;RAMON COSTA PONT;Regidor/a;;JxCAT-JUNTS;;13;15/6/2019
801160009;Municipis;PATROCINI CANAL BURNIOL;Alcalde/ssa;Alcaldia;SA;;1;15/6/2019
801160009;Municipis;RAMON GANGOLELLS VILARDELL ;Tinent/a d'Alcalde;Obres, Serveis i Camins.;SA;;2;15/6/2019
801160009;Municipis;CARLES NAVARRO SOLSONA ;Regidor/a;Ensenyament, Medi Ambient;SA;;3;15/6/2019
801160009;Municipis;SARA SUBIRANA MUNTADA ;Regidor/a;Joventut, Festes, Participació Ciutadana.;SA;;4;15/6/2019
801160009;Municipis;GERARD ARAN TRASERRA ;Regidor/a;Esports, Equipaments;SA;;5;15/6/2019
801160009;Municipis;MONTSE CASELLAS SALA ;Regidor/a;Pagesia, Hisenda;SA;;6;15/6/2019
801160009;Municipis;ROSSEND MANGOT CASANOVES ;Regidor/a;Cultura, Comunicació;SA;;7;15/6/2019
801160009;Municipis;FRANCESC HERNÁNDEZ RUIZ ;Regidor/a;Barris i Colònies.;SA;;8;15/6/2019
801160009;Municipis;JOSEP SUBIRANA JOVÉ;Regidor/a;;ERC-fA-AM;;9;15/6/2019
801160009;Municipis;SUSANNA CAMPILLO BESSES;Regidor/a;;ERC-fA-AM;;10;15/6/2019
801160009;Municipis;JAUME BASCOMPTE CASALS;Regidor/a;;ERC-fA-AM;;11;15/6/2019
801210007;Municipis;EUDALD VILASECA I FONT;Alcalde/ssa;Governació, Urbanisme;ERC -AM;;1;15/6/2019
801210007;Municipis;XAVIER HINOJOSA I GARCIA;Tinent/a d'Alcalde;Serveis Municipals;ERC-AM;;2;15/6/2019
801210007;Municipis;JOSEFA SANFELIU I PASCUAL (FINA);Tinent/a d'Alcalde;Educació;ERC-AM;;3;15/6/2019
801210007;Municipis;VANESA PALLÀS I BUENOSVINOS;Tinent/a d'Alcalde;Salut, Acció Social;ERC-AM;;4;15/6/2019
801210007;Municipis;MONTSERRAT CAPELLAS I HERMS;Regidor/a;Comunicació, Participació Ciutadana;ERC-AM;;5;15/6/2019
801210007;Municipis;EULÀLIA GONZÁLEZ I CONEJOS;Regidor/a;Cultura;ERC-AM;;6;15/6/2019
801210007;Municipis;JORDI VALL I CARRILO;Regidor/a;Joventut, Sostenibilitat, Entorn Rural;ERC-AM;;7;15/6/2019
801210007;Municipis;NÚRIA CRESPIERA I BADIA;Regidor/a;Esport;ERC-AM;;8;15/6/2019
801210007;Municipis;JORDI RIBA I CODINA;Regidor/a;Desenvolupament Econòmic i Local;ERC-AM;;9;15/6/2019
801210007;Municipis;SERGI GRAU TORRENT;Regidor/a;;JUNTS;;10;15/6/2019
801210007;Municipis;EVA SERRANO COCA ;Regidor/a;;JUNTS;;11;15/6/2019
801370005;Municipis;CÉSAR HERRAIZ PUJOL;Alcalde/ssa;Territori, Seveis Via Pública i Recursos Humans;JxCAT-JUNTS;;1;15/6/2019
801370005;Municipis;CARLES PUIG MÀRQUEZ;Tinent/a d'Alcalde;Hisenda;JxCAT-JUNTS;;2;15/6/2019
801370005;Municipis;NÚRIA CATÀ MARRUGAT;Tinent/a d'Alcalde;Promoció Econòmica, Empresa i Ocupació, Participació i Promoció Cultural i Seguretat Ciutadana;JxCAT-JUNTS;;3;15/6/2019
801370005;Municipis;LAIA RAFOLS DE PASCUAL;Tinent/a d'Alcalde;Gent Gran, Envelliment afectiu i Cooperació, Generacions Futures i Lleure,Comunicació,Transparència;JxCAT-JUNTS;;4;15/6/2019
801370005;Municipis;ANNA MARIA ESTEVE BALLESTER;Regidor/a;Acció Social, Salut i Educació;JxCAT-JUNTS;;5;15/6/2019
801370005;Municipis;ORIOL DE LA CRUZ MARCÈ;Regidor/a;;PM-CP;;6;15/6/2019
801370005;Municipis;FREDERIC MANZANARES ELIAS;Regidor/a;;PM-CP;;7;15/6/2019
801370005;Municipis;JAVIER ANDRES CASTILLA HERRERA;Regidor/a;;PM-CP;;8;15/6/2019
801370005;Municipis;JOSEP Mª TEJADA I LUQUIÑO;Regidor/a;;PM-CP;;9;15/6/2019
801420002;Municipis;MIQUEL PARELLA CODINA;Alcalde/ssa;Alcaldia, Cultura i Patrimoni, Urbanisme(compartida), Serveis Socials, Sanitat,Cooperació i Joventut;JUNTS;;1;15/6/2019
801420002;Municipis;ENRIC CRUELLS I CARRIÓ;Tinent/a d'Alcalde;Urbanisme(compartida), Serveis Municipals, Governació(compartida);JUNTS;;2;15/6/2019
801420002;Municipis;ELENA FONT I SALA;Tinent/a d'Alcalde;Serveis Socials, Sanitat, Cooperació i Joventut(compartida);JUNTS;;3;15/6/2019
801420002;Municipis;GEMMA BRUNET I FERRER;Tinent/a d'Alcalde;Governació(compartida), Personal i Turisme;JUNTS;;4;15/6/2019
801420002;Municipis;PERE MOLERA I PUIG;Regidor/a;Esports, Joventut(compartida), Festes i Medi Ambient;JUNTS;;5;15/6/2019
801420002;Municipis;MONTSERRAT PLATA I PUIG;Regidor/a;Ensenyament, Comerç i Ocupació;JUNTS;;6;15/6/2019
801420002;Municipis;MARC PEDROSA I REVILLA;Regidor/a;;ERC- AM;;7;15/6/2019
801420002;Municipis;FRANCESC DE BORJA PONS I LLABRÉS;Regidor/a;;ERC- AM;;8;15/6/2019
801420002;Municipis;CRISTINA MARTÍN I SANGLAS;Regidor/a;;ERC- AM;;9;15/6/2019
801420002;Municipis;SALVADOR PUJOL I CARBONELL;Regidor/a;;ERC- AM;;10;15/6/2019
801420002;Municipis;ISRAEL CALVACHE MASUET;Regidor/a;;CUP-AMUNT;;11;15/6/2019
808630008;Municipis;FRANCISCO DOMÍNGUEZ VELARDE;Regidor/a;;Cs;;16;
808630008;Municipis;ÀNGEL PROFITÓS I MARTÍ;Regidor/a;;IEC-AM;;14;
4390390004;Municipis;ESTANISLAO MARTINEZ I PUIG;Regidor/a;;ERC - AM;;6;8/11/2021
808630008;Municipis;IMMA ORTEGA I MARTÍ;Regidor/a;;IEC-AM;;13;
808630008;Municipis;RAQUEL CONRADA CORTÉS GONZÁLEZ;Regidor/a;;PSC-CP;;11;
808630008;Municipis;JOSÉ ANTONIO AGUILERA GALERA;Tinent/a d'Alcalde;;PSC-CP;;2;
808630008;Municipis;MONTSE VILA I FORTUNY;Tinent/a d'Alcalde;;JXLF-JUNTS;;3;
808630008;Municipis;MOISES TORRES I ENRIQUE;Regidor/a;;JXLF-JUNTS;;8;
808630008;Municipis;RAFAEL BERNABÉ PÉREZ;Regidor/a;;IEC-AM;;12;
808630008;Municipis;JUAN ANTONIO MARÍN MARTÍNEZ;Regidor/a;;PSC-CP;;10;
808630008;Municipis;FRANCESC COLOMÉ TENAS;Alcalde/ssa;;JXCAT;;1;
808630008;Municipis;AMADOR DONCEL MÁRQUEZ;Regidor/a;;Cs;;15;
808630008;Municipis;MARINA GINESTÍ I CRUSELLS;Regidor/a;;JXLF-JUNTS;;7;
808630008;Municipis;MARIA FORNS ROCA;Regidor/a;;SAL-CUP-AMUNT;;17;
801680001;Municipis;JOAN OÑA FOLCRÀ;Alcalde/ssa;Alcaldia;JxB-AM;;1;15/6/2019
801680001;Municipis;LLUÍS CASAS PRADOS;Tinent/a d'Alcalde;Promoció Econòmica, Turisme, Joventut;CxB-CP;;2;15/6/2019
801680001;Municipis;PILAR GRILLÉ PLANAS;Tinent/a d'Alcalde;Economia, Hisenda, Festes;JxB-AM;;3;15/6/2019
801680001;Municipis;FRANCISCO MALDONADO CARA;Tinent/a d'Alcalde;Esports, Prevenció d'Incendis;CxB-CP;;4;15/6/2019
801680001;Municipis;MARC CAMPS CASAS;Regidor/a;Urbanisme, Patrimoni Arquitectònic, Medi Ambient;JxB-AM;;5;15/6/2019
801680001;Municipis;JOAN MANUEL GONZÁLEZ CAMPS;Regidor/a;Educació, Sanitat, Associacionisme;JxB-AM;;6;15/6/2019
801680001;Municipis;JAUME AMILLS GUERRERO;Regidor/a;Serveis, Brigada d'Obres;JxB-AM;;7;15/6/2019
801680001;Municipis;MARIONA PONS YUSTE;Regidor/a;Cultura, Camins rurals, Drets Socials i Igualtat, Flora i Fauna, Pagesia;CxB-CP;;8;15/6/2019
801680001;Municipis;MARIA ANGUSTIAS VISO HERNÁNDEZ;Regidor/a;;CxB-CP;;9;15/6/2019
801680001;Municipis;PEP LLAMAS GIRONÈS ;Regidor/a;;AEBE;;10;15/6/2019
801680001;Municipis;ESTER BERENGUER CUYÀS ;Regidor/a;;AEBE;;11;15/6/2019
801740003;Municipis;CARLES VALLS ARNÓ;Alcalde/ssa;Governació, Comunicació, Urbanisme i Obres, Habitatge, Medi Ambient i Pagesia, Salut;JXB;;1;15/6/2019
801740003;Municipis;ORIOL USART SÁNCHEZ;Tinent/a d'Alcalde;Educació i Ensenyament, Cultura, Planejament Urbanístic;JxCAT - JUNTS;;2;15/6/2019
801740003;Municipis;RAMON ROIG SOLÉ;Tinent/a d'Alcalde;Hisenda, Noves Tecnologies, Participació Ciutadana;JpB;;3;15/6/2019
801740003;Municipis;ALEXIS SAEZ MONLEON;Tinent/a d'Alcalde;Manteniment i Serveis, Joventut, Festes i Fires;JpB;;4;15/6/2019
801740003;Municipis;MONTSERRAT GARCIA OLIVA;Regidor/a;Consum i Comerç, Esports i Lleure;JpB;;5;15/6/2019
801740003;Municipis;MONTSERRAT SAYÓS MUNTAL;Regidor/a;Igualtat, Promoció Econòmica i Activitats, Entitats;JpB;;6;15/6/2019
801740003;Municipis;Mª MERCE MAURI PUIG;Regidor/a;Benestar Social, Gent Gran;JxCAT - JUNTS;;7;15/6/2019
801740003;Municipis;JOSEP TIÓ LLEONART;Regidor/a;;CP;;8;15/6/2019
801740003;Municipis;ALBERT MELLADO ARGELICH;Regidor/a;;CP;;9;15/6/2019
801740003;Municipis;DAVID SOLDEVILLA I SENMARTÍ;Regidor/a;;ERC-AM;;10;15/6/2019
801740003;Municipis;TERESA MORENO I VILA;Regidor/a;;ERC-AM;;11;15/6/2019
801800000;Municipis;NOELIA RAMÍREZ CALATRAVA;Alcalde/ssa;Alcaldia;JUNTS;;1;15/6/2019
801800000;Municipis;DANIEL OBIOLS REDON;Tinent/a d'Alcalde;Seguretat Ciutadana, Règim Intern, Hisenda, Comunicació, Xarxes Socials;JUNTS;;2;15/6/2019
801800000;Municipis;JOSEP FORNELL CAPARRÓS;Tinent/a d'Alcalde;Urbanisme, Participació Ciutadana, Gestió d'Equipaments Culturals, Associacions;JUNTS;;3;15/6/2019
801800000;Municipis;IVET MANUEL RODRIGUEZ;Regidor/a;Ensenyament, Joventut, Festes, Igualtat de Gènere;JUNTS;;4;15/6/2019
